Date,AAPL,AMZN,BAC,BRK-A,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ,WMT
2020-03-11,61.097530364990234,90.39199829101562,18.984411239624023,280248.0,91.37810516357422,55.44475173950195,149.18814086914062,115.48930358886719,79.20698547363281,229.5657958984375,148.2565460205078,139.22779846191406,5.410536766052246,100.9438705444336,97.34952545166016,28.68000030517578,219.75364685058594,151.24293518066406,37.732940673828125,36.45703887939453
2020-03-18,59.65260696411133,97.00499725341797,18.16388511657715,267090.0,95.86249542236328,56.037353515625,159.76968383789062,100.768798828125,74.70429992675781,228.78408813476562,159.72653198242188,140.90911865234375,6.20517110824585,88.16368103027344,96.77261352539062,33.66666793823242,198.63677978515625,148.0244140625,34.731544494628906,35.16395568847656
2020-03-25,61.44305419921875,97.48600006103516,18.336624145507812,272000.0,94.3774642944336,57.62125778198242,161.49093627929688,110.87276458740234,76.05593872070312,233.1172332763672,165.50125122070312,149.80978393554688,6.5642619132995605,93.90921783447266,95.23085021972656,34.93333435058594,225.36875915527344,154.3369903564453,37.32998275756836,34.88661575317383
2020-04-01,62.685001373291016,100.58000183105469,19.122600555419922,276700.0,98.91071319580078,58.643314361572266,166.31723022460938,116.24179077148438,76.5712661743164,250.0248260498047,167.5154266357422,155.3002166748047,6.450458526611328,96.27400970458984,99.74671173095703,36.36333465576172,224.15773010253906,161.49244689941406,39.587974548339844,37.45658493041992
2020-04-08,69.35871124267578,114.16600036621094,20.495908737182617,289730.0,103.59049987792969,62.7429313659668,179.18736267089844,123.47097778320312,81.51525115966797,261.2580871582031,176.78271484375,164.998779296875,7.071025371551514,103.26598358154297,109.20116424560547,47.32600021362305,244.45516967773438,167.2686767578125,40.39391326904297,39.60896682739258
2020-04-15,64.84515380859375,116.40599822998047,18.690750122070312,275750.0,98.22681427001953,60.11117935180664,173.51344299316406,126.55708312988281,76.00977325439453,237.14083862304688,169.4700927734375,159.41331481933594,6.7114362716674805,102.17323303222656,106.96810150146484,45.781333923339844,247.78988647460938,153.7718505859375,39.901371002197266,39.673458099365234
2020-04-22,67.31214904785156,115.7040023803711,20.63410186767578,280600.0,103.76637268066406,61.124305725097656,188.2344970703125,128.00299072265625,81.33600616455078,255.74679565429688,181.4857940673828,161.30364990234375,7.255551815032959,99.79137420654297,115.5223617553711,51.27466583251953,260.5956115722656,164.0405731201172,40.61064147949219,39.301937103271484
2020-04-29,71.8982162475586,115.88999938964844,19.571739196777344,264280.0,98.73484802246094,66.89807891845703,195.13658142089844,126.40494537353516,78.52777862548828,264.81292724609375,205.4576873779297,171.70513916015625,7.3148193359375,99.70057678222656,124.7629623413086,51.2140007019043,264.824951171875,170.9278564453125,39.68367004394531,38.29789352416992
2020-05-06,75.24472045898438,117.84750366210938,18.889400482177734,260000.0,102.1543197631836,68.19536590576172,201.44198608398438,124.40950775146484,74.28557586669922,263.0054931640625,208.46408081054688,173.367431640625,7.772026062011719,98.44583129882812,140.27999877929688,53.96066665649414,259.9990539550781,171.91445922851562,38.94632339477539,38.006195068359375
2020-05-13,75.8675537109375,122.46649932861328,19.183059692382812,258700.0,111.7386245727539,68.15667724609375,205.9395751953125,125.99910736083984,75.6854248046875,281.00250244140625,215.19131469726562,174.4313507080078,8.771109580993652,96.63246154785156,144.6168212890625,53.867332458496094,261.2191162109375,181.3881378173828,38.18790817260742,38.534210205078125
