Date,AIG,BAC,C,CSCO,CVX,GE,HD,IBM,INTC,JNJ,JPM,KO,MSFT,PFE,PG,UPS,VZ,WFC,WMT,XOM
2004-04-15,867.3654174804688,24.295621871948242,295.17437744140625,14.396536827087402,19.54244613647461,86.5815658569336,21.053565979003906,46.0995979309082,15.115347862243652,28.87876319885254,20.958099365234375,13.499422073364258,15.648053169250488,14.040473937988281,28.154855728149414,35.8159294128418,11.107131004333496,15.290348052978516,12.694602012634277,20.81473731994629
2004-04-22,847.3399047851562,24.392101287841797,290.9096374511719,14.396536827087402,19.949094772338867,84.66383361816406,21.320148468017578,45.67021179199219,15.155608177185059,29.153125762939453,21.097148895263672,13.002222061157227,16.33054542541504,13.652365684509277,28.462215423583984,35.644901275634766,11.098289489746094,15.31483268737793,12.614108085632324,20.897125244140625
2004-04-29,847.221435546875,24.594114303588867,292.1109619140625,13.682181358337402,20.525333404541016,85.98933410644531,20.8876953125,44.937740325927734,15.069331169128418,29.09394645690918,21.163902282714844,13.230106353759766,16.170682907104492,13.937745094299316,29.183521270751953,35.43867492675781,11.148386001586914,15.401880264282227,12.152877807617188,21.318750381469727
2004-05-06,844.259033203125,24.223268508911133,280.4918518066406,14.132667541503906,19.968666076660156,85.7354965209961,19.862865447998047,43.851715087890625,15.881485939025879,29.718008041381836,19.895729064941406,12.927123069763184,15.949333190917969,13.587677955627441,29.00045394897461,35.11671447753906,10.691607475280762,15.326920509338379,11.978829383850098,20.838972091674805
2004-05-13,824.1152954101562,24.31672477722168,272.5573425292969,13.746530532836914,19.551145553588867,85.31246185302734,20.153133392333984,44.062076568603516,15.61650276184082,29.20154571533203,19.87904167175293,12.782109260559082,15.752574920654297,13.445866584777832,28.82012939453125,34.7796745300293,10.635614395141602,15.820453643798828,11.917916297912598,20.778522491455078
2004-05-20,854.4495239257812,25.007190704345703,281.8848876953125,14.383660316467285,19.94087028503418,88.2455062866211,21.006179809570312,44.72010040283203,16.34231948852539,30.002790451049805,20.48531723022461,13.004814147949219,16.072309494018555,13.338815689086914,29.399375915527344,35.843997955322266,10.137578010559082,16.20979118347168,12.05507755279541,21.241897583007812
2004-05-27,875.1854248046875,25.064472198486328,284.8526306152344,14.422269821166992,20.02635383605957,87.70967102050781,21.130578994750977,44.532833099365234,16.134946823120117,30.392148971557617,20.746726989746094,13.450215339660645,16.066160202026367,13.663778305053711,29.729976654052734,36.349056243896484,10.367441177368164,16.0452823638916,12.288416862487793,21.354097366333008
2004-06-03,870.392333984375,25.4361629486084,284.97393798828125,15.162371635437012,19.7260799407959,87.9352798461914,20.994321823120117,45.600826263427734,16.359596252441406,30.694990158081055,20.958099365234375,13.403608322143555,16.275203704833984,13.698186874389648,30.26277732849121,36.737953186035156,10.567831039428711,15.902715682983398,12.436708450317383,21.193134307861328
2004-06-10,857.8189697265625,25.551836013793945,284.7921447753906,15.368310928344727,20.162240982055664,90.55809020996094,21.376758575439453,45.747623443603516,16.19830894470215,30.219106674194336,20.757854461669922,13.256006240844727,16.797836303710938,13.464982032775879,30.377525329589844,36.93999099731445,10.532470703125,15.957551002502441,12.238260269165039,21.81747055053711
2004-06-17,854.9724731445312,25.807573318481445,286.12457275390625,15.426226615905762,20.79566764831543,94.25260925292969,21.044233322143555,45.95516586303711,16.428720474243164,30.089324951171875,20.924720764160156,13.349126815795898,17.400390625,13.365579605102539,30.579734802246094,37.667259216308594,10.447005271911621,16.19059944152832,11.677811622619629,22.173526763916016
2004-06-24,845.4833374023438,25.761905670166016,281.64263916015625,15.252469062805176,20.626895904541016,91.37601470947266,20.901716232299805,44.61885070800781,15.898761749267578,30.121755599975586,21.564361572265625,13.135754585266113,17.560251235961914,13.105607986450195,29.749109268188477,37.96525192260742,10.665087699890137,15.691582679748535,11.448833465576172,21.661378860473633
2004-07-01,839.5525512695312,25.64318084716797,276.3731384277344,14.428706169128418,20.480051040649414,90.84795379638672,20.782962799072266,43.20158386230469,15.172945976257324,29.489044189453125,20.50200080871582,13.120131492614746,17.277416229248047,12.891514778137207,29.73818016052246,37.19251251220703,10.629725456237793,15.691582679748535,11.409584999084473,22.12962532043457
2004-07-08,831.6054077148438,25.66448211669922,273.1629943847656,14.22276782989502,20.767181396484375,93.99727630615234,20.492002487182617,42.58406448364258,13.467865943908691,30.240741729736328,20.45331573486328,13.312694549560547,17.29586410522461,13.002387046813965,30.09882926940918,36.980384826660156,10.473373413085938,15.76561450958252,11.466277122497559,22.173526763916016
2004-07-15,798.867919921875,25.54575538635254,266.1371154785156,13.624247550964355,20.58745002746582,92.4935302734375,19.91008949279785,43.17628479003906,12.995506286621094,30.1488037109375,20.660934448242188,12.802666664123535,17.744707107543945,12.23393726348877,29.093364715576172,36.89957809448242,10.16655445098877,15.697075843811035,11.584041595458984,22.03207015991211
2004-07-22,843.11083984375,25.856290817260742,267.1667785644531,13.193062782287598,20.670734405517578,94.45123291015625,19.89226722717285,43.45466613769531,13.513947486877441,30.1109561920166,20.801218032836914,11.366266250610352,17.572553634643555,12.08865737915039,29.33722686767578,35.90966033935547,11.527853965759277,15.746419906616211,11.756318092346191,22.3442440032959
