Date,AAPL,AMZN,BAC,BRK-A,CVX,GOOGL,INTC,JNJ,JPM,KO,META,MSFT,PFE,PG,T,V,VZ,WFC,WMT,XOM
2016-03-11,23.961631774902344,27.972000122070312,10.743016242980957,213600.0,63.34642028808594,37.613128662109375,25.496702194213867,81.07473754882812,44.696102142333984,33.19755172729492,110.15555572509766,48.09473419189453,17.967126846313477,62.48444366455078,14.448718070983887,68.18473815917969,31.1998233795166,37.60342025756836,18.83912467956543,54.4001350402832
2016-03-18,23.93218994140625,29.147499084472656,10.967498779296875,210530.0,62.01266098022461,37.432621002197266,25.416975021362305,82.26722717285156,45.251487731933594,33.31756591796875,112.16976165771484,47.698795318603516,18.420289993286133,62.59018325805664,14.360076904296875,69.11699676513672,31.159099578857422,36.975826263427734,18.992733001708984,54.322513580322266
2016-03-25,24.684104919433594,29.68199920654297,10.839225769042969,213450.0,62.37226104736328,37.83231735229492,25.791690826416016,82.18370819091797,45.053688049316406,33.90965270996094,113.21157836914062,48.59626770019531,18.150848388671875,62.15219497680664,14.46718692779541,71.2984619140625,31.46161651611328,36.56749725341797,19.129592895507812,54.07024383544922
2016-04-01,24.582183837890625,29.571500778198242,10.302072525024414,211401.0,61.973453521728516,37.694454193115234,25.153873443603516,82.99642181396484,43.60819625854492,33.88771057128906,112.75515747070312,47.91875457763672,20.06145477294922,62.854454040527344,14.252969741821289,72.3239517211914,30.251562118530273,35.486202239990234,19.054182052612305,53.28107833862305
2016-04-08,25.38846206665039,31.037500381469727,11.336289405822754,215600.0,64.05905151367188,38.451698303222656,25.35319709777832,83.42935180664062,47.97005844116211,33.500308990478516,109.97695922851562,48.71065902709961,19.994096755981445,61.92569351196289,14.424084663391113,74.88761901855469,30.194623947143555,36.89264678955078,19.216182708740234,55.26044845581055
2016-04-15,24.00013542175293,31.549999237060547,11.94559383392334,217460.0,66.29505157470703,38.6803092956543,25.48872947692871,86.26248931884766,48.7441520690918,31.91411018371582,112.55672454833984,49.08021545410156,20.355396270751953,61.5118293762207,14.213845252990723,75.31644439697266,29.412715911865234,37.84538650512695,19.124013900756836,56.14018249511719
2016-04-22,21.477140426635742,30.100000381469727,11.857403755187988,219120.0,66.94884490966797,34.964019775390625,24.803081512451172,85.43457794189453,48.7441520690918,32.62314987182617,115.82109069824219,43.90646743774414,20.153308868408203,60.72007369995117,14.506685256958008,72.41716766357422,29.99472999572754,38.117610931396484,19.24690055847168,56.9422721862793
2016-04-29,21.11704444885254,32.954498291015625,11.264135360717773,215880.0,66.30810546875,35.442562103271484,23.838382720947266,85.73841857910156,46.93541717529297,32.937469482421875,116.8926773071289,43.94166564941406,20.55748176574707,61.89244842529297,14.544225692749023,72.11883544921875,29.888916015625,37.02119064331055,18.77208709716797,56.94873809814453
2016-05-06,20.584814071655273,35.89649963378906,11.336289405822754,214860.0,66.76578521728516,36.10509490966797,23.931711196899414,86.76380157470703,47.34160614013672,33.500308990478516,119.34346771240234,45.323097229003906,20.324777603149414,62.73747634887695,14.848325729370117,72.6129379272461,30.25929069519043,37.487579345703125,18.671539306640625,58.00308609008789
2016-05-13,21.464357376098633,34.92599868774414,11.64896011352539,211180.0,65.28164672851562,35.472320556640625,23.827173233032227,85.71561431884766,48.58320236206055,32.39654541015625,115.90046691894531,44.27602005004883,20.624183654785156,61.04743576049805,14.431597709655762,71.79826354980469,29.177547454833984,36.86277389526367,19.46941375732422,58.7775764465332
