Date,AIG,BA,BMY,DIS,GE,IBM,JNJ,KO,LLY,MCD,MMM,MRK,PEP,PFE,PG,SLB,T,VZ,WMT,XOM
1989-03-12,73.46885681152344,7.973757266998291,2.8550407886505127,4.529233455657959,7.438660144805908,10.522611618041992,2.3543078899383545,1.309476613998413,4.714395523071289,3.018399238586426,4.810038089752197,3.119663715362549,2.8245108127593994,0.6677168607711792,2.25996994972229,4.149566650390625,0.8591405153274536,2.952623128890991,0.8192520141601562,3.2148866653442383
1989-03-19,72.52542114257812,7.6501007080078125,2.862736463546753,4.455825328826904,7.293613910675049,10.253698348999023,2.279517889022827,1.296576738357544,4.714395523071289,2.93497633934021,4.756985187530518,3.0954818725585938,2.8824944496154785,0.6677168607711792,2.2724204063415527,4.04036808013916,0.8543002605438232,2.9575624465942383,0.7956235408782959,3.170358419418335
1989-03-26,74.64816284179688,8.032607078552246,2.893517255783081,4.60998010635376,7.376491069793701,10.206929206848145,2.360811471939087,1.3223789930343628,4.801912307739258,3.1169917583465576,4.739301681518555,3.1438465118408203,2.9487578868865967,0.6871366500854492,2.3035507202148438,4.149566650390625,0.8688210248947144,3.0118751525878906,0.8112242221832275,3.1258320808410645
1989-04-02,75.591552734375,8.135589599609375,2.947385787963867,4.668707847595215,7.480095863342285,10.265397071838379,2.367314338684082,1.3772096633911133,4.8427581787109375,3.162494659423828,4.739301681518555,3.155937433242798,2.957040548324585,0.7050616145133972,2.2817604541778564,4.094964504241943,0.8518804311752319,3.001999855041504,0.8393052220344543,3.0456793308258057
1989-04-09,76.18122100830078,8.41511058807373,3.010192632675171,4.7274322509765625,7.790903568267822,10.370619773864746,2.419344663619995,1.3417304754257202,4.912768840789795,3.2610843181610107,4.836565971374512,3.2526731491088867,3.0398693084716797,0.7140240669250488,2.31600284576416,4.204164981842041,0.880874514579773,3.0806429386138916,0.86114501953125,2.992249011993408
1989-04-16,78.42182159423828,8.59165096282959,3.0024123191833496,4.999244689941406,8.018831253051758,10.616140365600586,2.497389078140259,1.3675334453582764,4.9361090660095215,3.2990036010742188,5.066455364227295,3.3252205848693848,3.089569091796875,0.7379242181777954,2.3595833778381348,4.408914089202881,0.9351574778556824,3.180828094482422,0.9079469442367554,3.1792643070220947
1989-04-23,76.41703033447266,8.930023193359375,3.0179710388183594,5.006595611572266,8.101710319519043,10.674604415893555,2.500640869140625,1.3997867107391357,5.041133880615234,3.3369250297546387,5.057613372802734,3.301036834716797,3.1558327674865723,0.739418625831604,2.40203595161438,4.29971170425415,0.9499624967575073,3.341118335723877,0.8985862135887146,3.0723986625671387
1989-04-30,74.76606750488281,9.018290519714355,3.041304349899292,5.006595611572266,7.915225505828857,10.230313301086426,2.4681239128112793,1.3997867107391357,5.052802562713623,3.3748435974121094,5.07529878616333,3.2708089351654053,3.2800779342651367,0.7483811378479004,2.4302961826324463,4.245116233825684,0.962299108505249,3.2659831047058105,0.8923463225364685,3.0100603103637695
1989-05-07,76.7708511352539,9.415509223937988,3.1346445083618164,5.418299674987793,8.453963279724121,10.472575187683105,2.555922508239746,1.4546172618865967,5.33286190032959,3.511355400085449,5.269822120666504,3.4038171768188477,3.4871532917022705,0.767799973487854,2.4679744243621826,4.327014446258545,0.994376540184021,3.3661656379699707,0.9141868352890015,3.0723986625671387
1989-05-14,78.77560424804688,9.515528678894043,3.1579787731170654,5.506521701812744,8.930530548095703,10.508033752441406,2.627459764480591,1.5287995338439941,5.401740074157715,3.511355400085449,5.296347618103027,3.5005526542663574,3.553415536880493,0.7498744130134583,2.5653107166290283,4.29971170425415,1.0511270761489868,3.4913928508758545,0.9797089099884033,3.1669363975524902
