Date,AIG,BA,BMY,DIS,FNMA,GE,IBM,JNJ,K,KO,LLY,MMM,MO,MRK,PEP,PFE,PG,VZ,WMT,XOM
1991-04-23,109.51228332519531,12.667126655578613,5.042145252227783,6.825120449066162,7.421006202697754,12.34290885925293,10.726057052612305,5.140542030334473,,2.757866382598877,7.512161731719971,6.639496803283691,0.7649277448654175,5.470035076141357,6.2595367431640625,1.389872670173645,4.400167942047119,4.244099140167236,2.0424296855926514,4.668026447296143
1991-04-30,104.8934097290039,12.977765083312988,5.301795482635498,7.263297080993652,8.156407356262207,12.849854469299316,10.572638511657715,5.099849700927734,,2.9658806324005127,7.536630153656006,6.658468723297119,0.7834458947181702,5.907893180847168,6.567386627197266,1.4729448556900024,4.373737335205078,4.2770819664001465,2.073949098587036,4.648291110992432
1991-05-07,104.1484146118164,12.977765083312988,5.3855509757995605,7.2187371253967285,7.861347675323486,12.607403755187988,10.95626163482666,5.045598030090332,,2.9189095497131348,7.756860256195068,6.781774520874023,0.7706258296966553,6.015774726867676,6.618690013885498,1.4505809545516968,4.367133140563965,4.068175792694092,2.061340570449829,4.539731025695801
1991-05-14,104.29736328125,12.769567489624023,5.435802936553955,7.166748523712158,7.861347675323486,12.73964786529541,10.684618949890137,4.950655460357666,,2.9591708183288574,7.561667442321777,6.696407794952393,0.7364392280578613,6.072882652282715,6.516075134277344,1.446098804473877,4.340703964233398,4.079169273376465,2.0361249446868896,4.651885509490967
1991-05-21,106.08533477783203,12.873666763305664,5.561439037322998,7.166748523712158,8.135331153869629,12.871894836425781,10.865715980529785,5.047109127044678,,2.9994335174560547,7.844922065734863,6.727583408355713,0.7748993039131165,6.1363420486450195,6.516075134277344,1.5007293224334717,4.360525608062744,4.024197578430176,2.086556911468506,4.6818318367004395
1991-05-28,105.93634033203125,13.428862571716309,5.3269219398498535,7.010787010192871,8.598998069763184,13.665365219116211,11.008003234863281,4.815526962280273,,3.0329835414886475,7.635557651519775,7.27306604385376,0.7620792388916016,5.895200252532959,6.3364973068237305,1.4493117332458496,4.433199405670166,4.068175792694092,2.1306822299957275,4.7017974853515625
1991-06-04,103.9939956665039,13.255372047424316,5.226415157318115,6.929097652435303,8.156407356262207,13.224550247192383,10.594072341918945,4.726980686187744,,2.9591708183288574,7.52472448348999,7.072099685668945,0.7549569010734558,5.82746696472168,6.20822811126709,1.4653801918029785,4.367133140563965,3.9032509326934814,2.1243793964385986,4.631916522979736
1991-06-11,101.60679626464844,13.602373123168945,5.377175331115723,6.877110004425049,8.32501220703125,13.246740341186523,10.296558380126953,4.645247459411621,,3.0193471908569336,7.290727615356445,7.340052604675293,0.7535328269004822,6.025118350982666,6.361320972442627,1.4878745079040527,4.479449272155762,4.101164817810059,2.1558992862701416,4.5919880867004395
1991-06-18,101.00995635986328,12.665467262268066,5.259912490844727,6.669161319732666,7.903492450714111,13.091411590576172,10.180135726928711,4.577130317687988,,2.972169876098633,7.278411865234375,7.186939239501953,0.7369490265846252,5.833840847015381,6.1037797927856445,1.4557394981384277,4.162318706512451,3.9912116527557373,2.1328086853027344,4.641900539398193
1991-06-25,103.84483337402344,12.769567489624023,5.3855509757995605,6.758284091949463,8.47254753112793,13.291116714477539,10.180135726928711,4.604375839233398,,3.0193471908569336,7.278411865234375,7.196506023406982,0.7469850778579712,6.0825018882751465,6.00076150894165,1.446098804473877,4.201961040496826,4.310067176818848,2.2022202014923096,4.7816548347473145
1991-07-02,102.65119934082031,12.283772468566895,5.392940521240234,7.0924811363220215,8.598998069763184,13.291116714477539,10.400040626525879,4.638433456420898,,3.0463051795959473,7.389251708984375,7.005110740661621,0.7656241059303284,6.095251083374023,6.129532814025879,1.4493117332458496,4.221780776977539,4.134148597717285,2.2842516899108887,4.671849727630615
1991-07-09,99.36873626708984,12.665467262268066,5.6208109855651855,7.266600608825684,9.442041397094727,13.379863739013672,10.270685195922852,4.733792304992676,,3.106961727142334,7.118312835693359,6.899839401245117,0.7885642051696777,6.203639984130859,6.155289649963379,1.5103704929351807,4.2482099533081055,4.122425079345703,2.3789021968841553,4.721760272979736
1991-07-16,102.35277557373047,12.006163597106934,5.485775947570801,7.259166717529297,9.125900268554688,13.002662658691406,10.55526065826416,4.78147029876709,,3.1743581295013428,7.2414679527282715,7.119945526123047,0.7512864470481873,6.159008979797363,5.975005626678467,1.5392920970916748,4.25498104095459,4.3229756355285645,2.3410415649414062,4.751711368560791
1991-07-23,97.2799301147461,12.31847095489502,5.6208109855651855,6.9914069175720215,9.252359390258789,12.91390609741211,10.490586280822754,4.890448570251465,,3.154139995574951,7.253777980804443,6.737152576446533,0.7641904950141907,6.363033771514893,6.155289649963379,1.58749520778656,4.228388786315918,4.356398582458496,2.3599722385406494,4.7317423820495605
1991-07-30,103.09879302978516,12.63076400756836,5.722087860107422,7.1252827644348145,9.678325653076172,12.780769348144531,10.45178508758545,4.965371131896973,,3.349587917327881,7.746397018432617,6.63188362121582,0.7899976968765259,6.445919990539551,6.464340686798096,1.6164169311523438,4.341411113739014,4.1558518409729,2.3915226459503174,4.661865711212158
