Date,AAPL,AMZN,AVGO,BRK-A,COST,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2023-07-02,188.21701049804688,129.77999877929688,81.80435180664062,521620.0,505.1692199707031,118.50060272216797,282.7491760253906,146.7371368408203,134.8042449951172,443.3092041015625,381.89581298828125,288.2677917480469,330.13885498046875,42.46979904174805,137.65988159179688,274.42999267578125,436.9226989746094,231.59249877929688,49.61412811279297,93.95207214355469
2023-07-09,188.22689819335938,134.67999267578125,85.84554290771484,517408.0,525.9994506835938,124.39189910888672,295.5322265625,147.30844116210938,140.83615112304688,440.7400817871094,396.0562744140625,306.46502685546875,337.9904479980469,45.43348693847656,138.8162841796875,281.3800048828125,454.51971435546875,238.16465759277344,49.99232482910156,91.93022155761719
2023-07-16,189.4607391357422,130.0,86.63484191894531,527750.0,536.7369384765625,119.03616333007812,299.2392883300781,156.81759643554688,145.7071533203125,453.0760192871094,391.11676025390625,291.96881103515625,336.5513000488281,44.274391174316406,141.48062133789062,260.0199890136719,479.47149658203125,234.33497619628906,51.19154739379883,94.61691284179688
2023-07-23,193.30050659179688,132.2100067138672,86.92853546142578,533113.0,541.9901733398438,131.4932098388672,309.4171447753906,160.7705078125,147.55023193359375,449.5850830078125,386.659423828125,322.9457092285156,331.2646484375,46.71348190307617,145.6118621826172,266.44000244140625,476.0448913574219,230.90689086914062,51.689334869384766,94.86283111572266
2023-07-30,179.6392822265625,139.57000732421875,85.17603302001953,533600.0,531.1373291015625,127.05985260009766,304.80438232421875,155.75794982910156,146.71331787109375,440.7695007324219,385.0752258300781,308.3105773925781,320.8970947265625,44.64509582519531,144.5598602294922,253.86000061035156,475.8744812011719,234.08033752441406,51.181846618652344,97.8318099975586
2023-08-06,175.49351501464844,138.41000366210938,80.16295623779297,542900.0,541.6438598632812,128.49795532226562,309.1743469238281,160.19000244140625,145.2369842529297,518.0308837890625,388.64703369140625,299.2913513183594,314.26922607421875,40.823081970214844,146.17974853515625,242.64999389648438,480.87249755859375,235.10874938964844,52.10630798339844,101.84820556640625
2023-08-13,172.46875,133.22000122070312,79.78423309326172,535817.0,524.30615234375,126.41517639160156,305.6820983886719,158.93685913085938,140.0838623046875,535.828857421875,385.88214111328125,281.04449462890625,309.83441162109375,43.265174865722656,142.00901794433594,215.49000549316406,471.81365966796875,233.7158203125,51.230796813964844,100.21797180175781
2023-08-20,176.54100036621094,133.25999450683594,82.2941665649414,540000.0,513.7899780273438,128.81533813476562,301.4708557128906,153.18714904785156,138.27838134765625,544.0724487304688,396.4302978515625,283.2770080566406,316.8674011230469,45.9820556640625,142.94000244140625,238.58999633789062,462.9914855957031,238.03355407714844,51.19511413574219,99.39591217041016
2023-08-27,187.2653350830078,138.1199951171875,84.29400634765625,550000.0,524.6317138671875,134.54795837402344,311.01385498046875,148.9441375732422,138.06210327148438,547.47265625,408.9069519042969,294.072265625,322.4398193359375,48.471107482910156,143.84300231933594,245.00999450683594,450.7995300292969,243.4699249267578,52.41157150268555,104.23485565185547
2023-09-03,176.11598205566406,138.22999572753906,82.8477554321289,551405.0,531.321533203125,135.26206970214844,308.8934020996094,149.01840209960938,135.25048828125,576.3148803710938,408.1886291503906,295.5705261230469,327.94366455078125,45.536407470703125,142.3720703125,248.5,455.08758544921875,242.66526794433594,53.12523651123047,106.1539077758789
